Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,123.96,-126.26,-90.0,top
C10,33p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,120.982062,-66.054328,-90.0,top
C11,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,124.182062,-68.334328,90.0,top
C12,100n,C_0603_1608Metric,131.642062,-110.154328,90.0,top
C13,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,126.66,-75.8,180.0,top
C14,C,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,149.629562,-129.504328,270.0,bottom
C15,1u,C_0805_2012Metric,134.084562,-60.499328,180.0,top
C16,100n,C_0603_1608Metric,134.084562,-62.499328,180.0,top
C17,100n,C_0603_1608Metric,122.79,-101.48,90.0,top
C18,100n,C_0603_1608Metric,109.482062,-110.294328,-90.0,top
C19,10u,C_1206_3216Metric,133.702062,-110.204328,-90.0,top
C2,33p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,121.872062,-117.684328,90.0,top
C20,10u,C_1206_3216Metric,134.272062,-53.194328,-90.0,top
C21,100n,C_0603_1608Metric,135.309562,-77.049328,0.0,top
C22,10u,C_1206_3216Metric,111.482062,-110.294328,-90.0,top
C23,100n,C_0603_1608Metric,132.332062,-53.254328,90.0,top
C24,1u,C_0805_2012Metric,135.309562,-79.049328,0.0,top
C25,100n,C_0603_1608Metric,122.782062,-94.294328,90.0,top
C26,1u,C_0805_2012Metric,115.112062,-90.314328,-90.0,top
C27,LGU2D102MELA,LGU2D102MELA,179.959562,-88.699328,-90.0,top
C28,LGU2D102MELA,LGU2D102MELA,194.784562,-88.624328,90.0,bottom
C29,LGU2D102MELA,LGU2D102MELA,180.034562,-143.449328,-90.0,top
C3,33p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,121.902062,-121.204328,90.0,top
C30,LGU2D102MELA,LGU2D102MELA,194.909562,-61.574328,90.0,bottom
C31,LGU2D102MELA,LGU2D102MELA,179.984562,-61.424328,-90.0,top
C32,LGU2D102MELA,LGU2D102MELA,194.809562,-116.024328,90.0,bottom
C34,1u,C_0805_2012Metric,99.95,-53.78,90.0,top
C35,1u,C_0805_2012Metric,96.082062,-50.984328,0.0,top
C36,C5750X6S2W225K250KA,C5750_Commercial,138.659562,-73.149328,180.0,bottom
C37,C5750X6S2W225K250KA,C5750_Commercial,138.709562,-65.349328,180.0,bottom
C39,C5750X6S2W225K250KA,C5750_Commercial,138.434562,-129.399328,180.0,bottom
C4,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,124.072062,-122.114328,90.0,top
C40,100n,C_0603_1608Metric,108.852062,-53.304328,-90.0,top
C41,LGU2D102MELA,LGU2D102MELA,180.009562,-116.049328,-90.0,top
C42,10u,C_1206_3216Metric,102.22,-126.3,-90.0,top
C43,10u,C_1206_3216Metric,96.81,-131.65,0.0,top
C44,10u,C_1206_3216Metric,110.892062,-53.104328,-90.0,top
C45,10u,C_1206_3216Metric,133.112062,-84.914328,-90.0,top
C46,C,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,149.899562,-64.061828,270.0,bottom
C47,1u,C_0805_2012Metric,133.584562,-131.599328,0.0,top
C48,100n,C_0603_1608Metric,133.584562,-129.599328,0.0,top
C49,100n,C_0603_1608Metric,102.509543,-134.71285,-90.0,top
C5,1u,C_0805_2012Metric,133.309562,-114.599328,180.0,top
C50,C,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,149.809562,-74.904328,270.0,bottom
C51,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,125.419562,-129.654328,180.0,top
C52,100n,C_0603_1608Metric,131.082062,-85.094328,-90.0,top
C53,100n,C_0603_1608Metric,109.002062,-85.139328,-90.0,top
C54,10u,C_1206_3216Metric,110.972062,-84.604328,-90.0,top
C55,10u,C_1206_3216Metric,133.152062,-137.934328,-90.0,top
